Victoria in Future 2019 (VIF2019) Population and Household Projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: David Sykes (DELWP) 03 8683 0936 | david.sykes@delwp.vic.gov.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households by household type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for Statistical Areas from Level 2 to Level 4 (SA2, SA3, SA4), Greater Capital City Statistical Areas (GCCSA) and Victoria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,As at June 30th 2016,,,,,,,,As at June 30th 2021,,,,,,,,As at June 30th 2026,,,,,,,,As at June 30th 2031,,,,,,,,As at June 30th 2036,,,,,,
2GMEL,208,20802,208021181,SA2,Murrumbeena,"1,316","1,018",280,63,238,"1,169","4,083",,"1,354","1,106",294,67,252,"1,247","4,320",,"1,392","1,195",308,69,260,"1,324","4,549",,"1,433","1,264",325,72,268,"1,402","4,766",,"1,493","1,331",349,74,272,"1,467","4,987"
2GMEL,208,20802,208021182,SA2,Ormond - Glen Huntly,"1,813","1,353",443,90,463,"1,710","5,873",,"1,964","1,410",473,92,462,"1,818","6,220",,"2,072","1,461",508,99,483,"1,930","6,553",,"2,157","1,555",546,105,518,"2,053","6,934",,"2,242","1,689",591,110,543,"2,173","7,348"
2GMEL,208,20802,208021426,SA2,Bentleigh East (North),"2,422","1,251",648,79,139,"1,105","5,644",,"2,567","1,343",694,89,157,"1,155","6,004",,"2,827","1,570",770,107,192,"1,308","6,773",,"3,190","1,895",865,129,238,"1,529","7,845",,"3,474","2,187",937,141,263,"1,709","8,711"
2GMEL,208,20802,208021427,SA2,Bentleigh East (South),"2,036","1,205",597,66,121,"1,127","5,152",,"2,157","1,250",620,68,127,"1,120","5,342",,"2,243","1,302",637,73,133,"1,116","5,503",,"2,307","1,379",655,79,143,"1,156","5,719",,"2,376","1,491",679,85,155,"1,226","6,012"
2GMEL,208,20803,208031183,SA2,Aspendale Gardens - Waterways,"1,686",681,259,16,33,364,"3,039",,"1,620",792,263,20,34,420,"3,150",,"1,575",922,259,22,36,480,"3,295",,"1,574","1,036",252,21,38,542,"3,464",,"1,598","1,106",250,19,35,597,"3,606"
2GMEL,208,20803,208031184,SA2,Braeside,6,2,1,0,0,1,10,,5,2,1,0,0,1,8,,4,2,1,0,0,1,7,,7,4,1,0,0,1,13,,11,3,1,0,0,1,17
2GMEL,208,20803,208031185,SA2,Carrum - Patterson Lakes,"1,548","1,371",589,47,150,"1,431","5,137",,"1,587","1,507",613,49,159,"1,541","5,456",,"1,624","1,642",638,51,164,"1,661","5,781",,"1,661","1,778",666,55,171,"1,801","6,132",,"1,713","1,922",696,59,179,"1,945","6,515"
2GMEL,208,20803,208031186,SA2,Chelsea - Bonbeach,"1,674","1,651",724,74,261,"2,331","6,716",,"1,774","1,742",783,75,265,"2,512","7,151",,"1,817","1,827",839,78,275,"2,676","7,512",,"1,831","1,959",894,87,298,"2,861","7,932",,"1,851","2,156",934,97,324,"3,061","8,423"
2GMEL,208,20803,208031187,SA2,Chelsea Heights,817,516,260,11,55,443,"2,100",,767,582,259,11,56,513,"2,188",,731,651,259,10,56,575,"2,281",,717,709,257,10,57,626,"2,375",,716,757,262,11,58,664,"2,468"
2GMEL,208,20803,208031188,SA2,Cheltenham - Highett (East),"3,049","2,353","1,101",131,315,"2,862","9,811",,"3,469","2,618","1,230",147,354,"3,082","10,900",,"3,837","2,864","1,359",162,387,"3,327","11,935",,"4,145","3,161","1,484",182,423,"3,619","13,013",,"4,441","3,521","1,605",199,461,"3,954","14,181"
2GMEL,208,20803,208031189,SA2,Edithvale - Aspendale,"1,916","1,329",502,57,126,"1,282","5,213",,"1,974","1,423",525,59,129,"1,348","5,459",,"2,014","1,518",551,61,130,"1,428","5,702",,"2,043","1,626",569,67,139,"1,507","5,951",,"2,088","1,773",599,68,148,"1,597","6,274"
2GMEL,208,20803,208031190,SA2,Mentone,"1,674","1,543",581,64,177,"1,930","5,969",,"1,799","1,665",621,67,184,"2,061","6,397",,"1,919","1,766",660,70,193,"2,195","6,803",,"2,014","1,885",701,75,204,"2,337","7,217",,"2,109","2,025",747,80,217,"2,485","7,663"
2GMEL,208,20803,208031191,SA2,Moorabbin - Heatherton,"1,301",826,405,42,129,813,"3,518",,"1,405",927,444,47,145,882,"3,850",,"1,521","1,045",486,54,162,971,"4,237",,"1,631","1,178",528,57,182,"1,073","4,650",,"1,762","1,321",568,63,194,"1,182","5,090"
2GMEL,208,20803,208031192,SA2,Moorabbin Airport,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
2GMEL,208,20803,208031193,SA2,Mordialloc - Parkdale,"2,884","1,970",830,91,219,"2,455","8,450",,"2,966","2,162",879,99,232,"2,660","8,997",,"2,987","2,361",908,107,247,"2,859","9,468",,"3,023","2,606",943,117,266,"3,094","10,049",,"3,112","2,852",975,123,281,"3,337","10,679"
2GMEL,208,20804,208041194,SA2,Malvern - Glen Iris,"2,627","2,296",623,140,500,"2,712","8,897",,"2,836","2,440",667,146,513,"2,915","9,517",,"2,972","2,545",705,156,535,"3,070","9,983",,"3,083","2,720",752,166,568,"3,239","10,527",,"3,211","2,919",792,173,597,"3,435","11,126"
2GMEL,208,20804,208041195,SA2,Malvern East,"3,048","2,003",634,148,678,"2,065","8,575",,"3,227","2,313",676,167,747,"2,273","9,402",,"3,451","2,557",720,182,781,"2,459","10,149",,"3,713","2,751",757,187,811,"2,629","10,849",,"4,020","2,909",827,191,816,"2,775","11,539"
2GMEL,209,20901,209011196,SA2,Bundoora - East,"1,356","1,022",423,43,203,714,"3,760",,"1,396","1,054",434,43,206,730,"3,864",,"1,448","1,054",442,43,204,744,"3,935",,"1,489","1,053",442,45,206,757,"3,992",,"1,544","1,065",448,47,215,753,"4,073"
2GMEL,209,20901,209011197,SA2,Greensborough,"3,128","2,124",876,83,148,"1,731","8,090",,"3,158","2,278",899,80,143,"1,845","8,403",,"3,175","2,372",931,79,139,"1,960","8,656",,"3,200","2,459",967,85,142,"2,087","8,940",,"3,237","2,584","1,001",90,152,"2,211","9,275"
2GMEL,209,20901,209011198,SA2,Heidelberg - Rosanna,"2,111","1,577",523,92,224,"1,731","6,259",,"2,347","1,711",574,102,245,"1,852","6,831",,"2,567","1,873",633,112,271,"1,994","7,449",,"2,759","2,071",688,127,307,"2,165","8,116",,"2,942","2,322",741,142,343,"2,359","8,849"
2GMEL,209,20901,209011199,SA2,Heidelberg West,"1,526","1,236",881,163,396,"1,863","6,065",,"1,684","1,377",963,176,419,"2,083","6,703",,"1,814","1,485","1,055",189,429,"2,302","7,274",,"1,906","1,583","1,142",199,447,"2,515","7,790",,"1,999","1,707","1,239",214,479,"2,736","8,374"
2GMEL,209,20901,209011200,SA2,Ivanhoe,"1,675","1,160",422,67,218,"1,307","4,849",,"1,834","1,350",460,77,245,"1,463","5,428",,"1,972","1,513",501,83,258,"1,613","5,940",,"2,109","1,658",557,86,267,"1,758","6,435",,"2,241","1,784",612,92,274,"1,905","6,909"
2GMEL,209,20901,209011201,SA2,Ivanhoe East - Eaglemont,"1,289",800,216,38,52,602,"2,997",,"1,263",885,218,39,55,626,"3,085",,"1,257",957,224,40,55,653,"3,187",,"1,277","1,010",228,42,56,699,"3,311",,"1,323","1,054",240,40,58,734,"3,451"
2GMEL,209,20901,209011202,SA2,Montmorency - Briar Hill,"2,280","1,807",732,72,148,"1,608","6,646",,"2,310","1,892",755,71,143,"1,677","6,848",,"2,290","1,941",776,74,139,"1,746","6,965",,"2,267","2,009",792,84,144,"1,830","7,125",,"2,258","2,125",806,91,152,"1,916","7,349"
2GMEL,209,20901,209011203,SA2,Viewbank - Yallambie,"2,717","1,828",755,74,174,"1,565","7,114",,"2,695","1,838",764,70,165,"1,587","7,119",,"2,658","1,851",772,71,161,"1,619","7,131",,"2,615","1,913",775,77,175,"1,666","7,221",,"2,602","2,043",774,81,190,"1,708","7,397"
2GMEL,209,20901,209011204,SA2,Watsonia,"1,308",970,468,56,92,879,"3,774",,"1,332",965,484,54,90,895,"3,820",,"1,339",974,499,56,90,910,"3,867",,"1,353","1,002",518,59,96,926,"3,953",,"1,367","1,070",531,64,102,961,"4,095"
2GMEL,209,20902,209021205,SA2,Kingsbury,"1,309",898,281,62,428,763,"3,740",,"1,454","1,075",324,71,486,863,"4,273",,"1,633","1,215",362,75,506,948,"4,738",,"1,825","1,319",396,76,509,"1,015","5,139",,"2,048","1,406",436,75,506,"1,071","5,542"
2GMEL,209,20902,209021207,SA2,Reservoir - East,"3,049","2,634","1,388",257,746,"3,775","11,849",,"3,472","2,875","1,524",273,791,"4,081","13,015",,"3,835","3,030","1,665",284,817,"4,352","13,984",,"4,189","3,209","1,847",307,870,"4,692","15,113",,"4,522","3,472","2,037",336,946,"5,092","16,404"
2GMEL,209,20902,209021208,SA2,Reservoir - West,"3,138","2,383","1,142",188,477,"2,514","9,842",,"3,344","2,433","1,197",194,485,"2,599","10,253",,"3,534","2,486","1,249",199,492,"2,668","10,627",,"3,703","2,587","1,323",212,517,"2,769","11,110",,"3,872","2,778","1,398",227,558,"2,921","11,755"
2GMEL,209,20902,209021428,SA2,Preston - East,"2,228","2,056",931,181,860,"2,478","8,733",,"2,606","2,353","1,078",204,951,"2,838","10,031",,"2,999","2,632","1,233",224,"1,020","3,210","11,319",,"3,383","2,934","1,411",250,"1,110","3,620","12,709",,"3,746","3,305","1,614",278,"1,217","4,099","14,258"
2GMEL,209,20902,209021429,SA2,Preston - West,"1,672","1,169",489,102,387,"1,280","5,099",,"1,867","1,323",549,115,434,"1,442","5,731",,"2,155","1,554",635,134,501,"1,666","6,644",,"2,419","1,782",720,152,562,"1,891","7,526",,"2,698","2,042",818,170,622,"2,153","8,503"
2GMEL,209,20903,209031209,SA2,Eltham,"3,918","2,158",798,56,113,"1,374","8,418",,"3,788","2,470",801,56,116,"1,554","8,784",,"3,717","2,696",813,55,114,"1,737","9,133",,"3,680","2,834",833,56,115,"1,913","9,431",,"3,696","2,921",853,57,116,"2,050","9,692"
2GMEL,209,20903,209031210,SA2,Hurstbridge,585,321,135,3,15,237,"1,295",,566,353,135,3,14,266,"1,337",,563,381,135,3,14,306,"1,403",,568,408,136,3,14,356,"1,485",,580,433,131,3,14,399,"1,561"
2GMEL,209,20903,209031211,SA2,Kinglake,587,447,135,5,21,332,"1,528",,599,530,148,8,23,392,"1,700",,610,601,160,9,23,449,"1,852",,632,663,165,13,25,517,"2,015",,671,711,186,14,24,585,"2,192"
2GMEL,209,20903,209031212,SA2,Panton Hill - St Andrews,830,569,160,10,34,317,"1,919",,815,645,160,12,35,352,"2,019",,818,702,165,11,34,385,"2,115",,856,734,163,10,34,408,"2,205",,902,742,170,11,32,425,"2,282"
2GMEL,209,20903,209031213,SA2,Plenty - Yarrambat,"1,697",822,214,28,39,372,"3,171",,"1,699",943,224,27,40,419,"3,352",,"1,708","1,031",234,27,40,473,"3,512",,"1,742","1,098",248,28,40,520,"3,676",,"1,805","1,153",265,28,40,560,"3,851"
2GMEL,209,20903,209031214,SA2,Research - North Warrandyte,"1,170",667,158,10,19,330,"2,353",,"1,136",734,158,10,20,356,"2,414",,"1,137",785,159,10,20,382,"2,493",,"1,142",820,166,9,20,403,"2,559",,"1,172",836,172,10,19,422,"2,631"
2GMEL,209,20903,209031215,SA2,Wattle Glen - Diamond Creek,"2,336","1,163",526,25,65,670,"4,785",,"2,345","1,383",537,27,69,758,"5,119",,"2,376","1,574",549,27,70,857,"5,452",,"2,424","1,713",561,28,71,962,"5,758",,"2,494","1,813",579,29,71,"1,054","6,040"
2GMEL,209,20904,209041216,SA2,Bundoora - North,"1,080",676,207,39,279,588,"2,868",,"1,239",830,228,49,326,703,"3,375",,"1,441",944,254,51,345,774,"3,809",,"1,701","1,023",288,53,352,818,"4,234",,"1,988","1,082",341,53,360,864,"4,688"
2GMEL,209,20904,209041217,SA2,Bundoora - West,739,685,275,40,194,626,"2,560",,790,733,290,41,199,675,"2,727",,863,757,314,41,197,724,"2,896",,945,767,343,43,208,766,"3,071",,"1,016",789,371,46,227,809,"3,258"
2GMEL,209,20904,209041219,SA2,Lalor,"3,110","2,101","1,215",167,211,"1,561","8,365",,"3,537","2,296","1,385",187,233,"1,751","9,389",,"3,925","2,432","1,553",202,249,"1,885","10,245",,"4,296","2,583","1,728",219,269,"2,021","11,116",,"4,623","2,779","1,891",240,295,"2,165","11,992"
2GMEL,209,20904,209041220,SA2,Mill Park - North,"2,911","1,386",740,97,130,"1,032","6,297",,"2,849","1,613",755,98,133,"1,142","6,590",,"2,814","1,785",780,96,130,"1,255","6,861",,"2,806","1,875",812,91,123,"1,359","7,067",,"2,823","1,890",852,87,116,"1,432","7,201"
2GMEL,209,20904,209041221,SA2,Mill Park - South,"1,835","1,017",596,75,130,660,"4,313",,"1,809","1,142",597,72,118,726,"4,465",,"1,809","1,229",617,69,109,781,"4,613",,"1,805","1,279",657,68,105,843,"4,758",,"1,807","1,320",693,70,111,910,"4,910"
2GMEL,209,20904,209041223,SA2,Thomastown,"2,727","1,918","1,183",147,201,"1,554","7,729",,"2,778","1,973","1,233",140,188,"1,665","7,976",,"2,844","1,998","1,302",140,179,"1,752","8,215",,"2,934","2,062","1,387",146,182,"1,841","8,552",,"3,048","2,172","1,459",158,195,"1,928","8,960"
2GMEL,209,20904,209041224,SA2,Wallan,"2,537","1,449",722,29,109,899,"5,745",,"3,541","1,958",982,44,142,"1,209","7,878",,"5,182","2,672","1,420",62,193,"1,668","11,197",,"7,371","3,724","2,052",84,272,"2,351","15,853",,"9,905","5,184","2,826",112,375,"3,227","21,629"
2GMEL,209,20904,209041225,SA2,Whittlesea,"1,172",818,360,20,57,666,"3,092",,"1,469",988,427,23,68,793,"3,768",,"2,998","1,544",764,39,124,"1,197","6,666",,"5,198","2,386","1,284",66,202,"1,850","10,986",,"7,359","3,284","1,836",92,281,"2,539","15,392"
2GMEL,209,20904,209041430,SA2,Doreen,"3,586","1,598",932,48,127,965,"7,257",,"4,770","2,122","1,261",65,169,"1,315","9,702",,"4,950","2,293","1,416",64,163,"1,511","10,397",,"4,800","2,572","1,502",72,186,"1,719","10,850",,"4,635","3,083","1,543",83,221,"1,940","11,504"
2GMEL,209,20904,209041431,SA2,Epping - East,"2,047",949,584,61,103,770,"4,514",,"2,111","1,080",611,61,105,855,"4,823",,"2,315","1,251",684,65,110,981,"5,405",,"2,566","1,445",783,70,118,"1,140","6,122",,"2,649","1,570",831,72,121,"1,236","6,479"
2GMEL,209,20904,209041432,SA2,Epping - South,"1,165",718,478,36,99,620,"3,116",,"1,173",781,483,33,95,671,"3,236",,"1,187",827,486,33,93,723,"3,350",,"1,198",863,491,35,95,765,"3,447",,"1,216",897,509,36,101,801,"3,559"
2GMEL,209,20904,209041433,SA2,Epping - West,"1,952",614,417,42,89,433,"3,547",,"2,292",709,530,36,77,524,"4,168",,"2,353",806,617,39,80,579,"4,474",,"2,368","1,004",730,56,107,640,"4,905",,"2,340","1,298",758,73,140,691,"5,299"
2GMEL,209,20904,209041434,SA2,Mernda,"2,698","1,314",807,45,131,875,"5,869",,"4,128","1,893","1,223",66,187,"1,307","8,805",,"4,542","1,969","1,448",52,175,"1,536","9,722",,"4,489","2,121","1,633",49,187,"1,756","10,235",,"4,305","2,570","1,782",58,229,"2,014","10,958"
2GMEL,209,20904,209041435,SA2,South Morang (North),"2,244",725,426,37,45,398,"3,876",,"2,372",824,479,41,49,447,"4,213",,"2,656","1,052",575,51,60,552,"4,946",,"2,974","1,343",658,61,73,675,"5,784",,"3,240","1,641",717,65,80,794,"6,538"
2GMEL,209,20904,209041436,SA2,South Morang (South),"1,901",905,534,48,90,720,"4,199",,"1,891","1,112",559,48,97,883,"4,590",,"1,904","1,302",576,49,105,"1,036","4,974",,"1,897","1,458",577,47,108,"1,163","5,251",,"1,931","1,564",578,45,107,"1,258","5,482"
2GMEL,209,20904,209041437,SA2,Wollert,"1,598",694,287,37,63,344,"3,024",,"3,766","1,516",687,82,135,659,"6,844",,"6,312","2,329","1,254",125,210,"1,075","11,304",,"8,581","3,212","1,865",172,285,"1,530","15,646",,"10,390","4,286","2,429",226,367,"2,043","19,740"
2GMEL,210,21001,210011226,SA2,Airport West,972,868,440,69,99,966,"3,415",,"1,100",940,484,75,108,"1,049","3,756",,"1,219","1,005",534,82,115,"1,122","4,079",,"1,329","1,091",585,89,126,"1,210","4,430",,"1,426","1,195",645,96,136,"1,308","4,805"
2GMEL,210,21001,210011227,SA2,Essendon Airport,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
2GMEL,210,21001,210011228,SA2,Keilor,"1,284",997,366,30,40,665,"3,382",,"1,326","1,034",382,31,43,701,"3,516",,"1,371","1,049",395,34,42,732,"3,623",,"1,408","1,066",402,35,42,774,"3,726",,"1,451","1,107",409,35,45,796,"3,843"
2GMEL,210,21001,210011229,SA2,Keilor East,"3,773","2,764","1,234",142,222,"2,053","10,189",,"3,967","2,862","1,329",152,231,"2,225","10,766",,"4,172","2,932","1,409",164,241,"2,355","11,272",,"4,369","3,053","1,470",177,260,"2,445","11,774",,"4,601","3,264","1,531",192,282,"2,515","12,384"
2GMEL,210,21001,210011230,SA2,Niddrie - Essendon West,"1,036",653,329,39,67,730,"2,854",,"1,148",712,362,44,71,782,"3,119",,"1,232",789,387,48,78,826,"3,361",,"1,316",892,412,53,85,904,"3,661",,"1,412","1,011",447,57,91,"1,001","4,019"
2GMEL,210,21001,210011231,SA2,Strathmore,"1,606",852,319,46,64,642,"3,528",,"1,694",930,336,49,69,666,"3,745",,"1,806","1,002",349,53,69,701,"3,980",,"1,909","1,081",372,56,73,750,"4,241",,"2,020","1,167",400,59,75,814,"4,534"
2GMEL,210,21002,210021232,SA2,Gisborne,"2,063","1,350",392,23,36,823,"4,689",,"2,295","1,587",442,27,42,961,"5,353",,"2,510","1,797",490,29,46,"1,110","5,982",,"2,731","1,994",546,33,50,"1,258","6,612",,"2,975","2,227",603,38,56,"1,389","7,288"
2GMEL,210,21002,210021233,SA2,Macedon,513,461,72,0,25,241,"1,311",,498,479,72,0,26,245,"1,319",,499,492,70,0,26,259,"1,345",,509,521,71,0,26,274,"1,401",,541,549,73,0,27,280,"1,470"
2GMEL,210,21002,210021234,SA2,Riddells Creek,668,449,115,1,13,248,"1,495",,697,533,120,1,12,289,"1,653",,731,614,129,1,13,336,"1,825",,781,699,143,1,14,371,"2,008",,850,782,163,1,13,402,"2,211"
2GMEL,210,21002,210021235,SA2,Romsey,"1,374","1,104",344,12,80,675,"3,589",,"1,428","1,284",374,13,88,778,"3,965",,"1,507","1,461",418,14,95,885,"4,381",,"1,585","1,608",463,16,98,989,"4,759",,"1,680","1,736",514,17,103,"1,079","5,129"
2GMEL,210,21003,210031236,SA2,Coburg North,"1,001",775,347,50,215,763,"3,150",,"1,182",882,397,55,236,859,"3,611",,"1,344",971,449,59,248,953,"4,025",,"1,495","1,081",509,63,271,"1,063","4,482",,"1,643","1,219",578,75,313,"1,203","5,029"
2GMEL,210,21003,210031237,SA2,Fawkner,"1,901","1,003",624,91,196,"1,159","4,973",,"2,136","1,017",668,93,198,"1,193","5,306",,"2,346","1,050",726,96,195,"1,213","5,626",,"2,510","1,115",794,104,205,"1,254","5,982",,"2,657","1,229",857,113,229,"1,341","6,425"
2GMEL,210,21003,210031239,SA2,Pascoe Vale,"3,190","2,474",972,199,458,"2,742","10,035",,"3,687","2,689","1,071",213,495,"2,938","11,093",,"4,121","2,858","1,174",224,517,"3,114","12,009",,"4,496","3,045","1,297",242,550,"3,346","12,976",,"4,812","3,310","1,430",264,599,"3,644","14,058"
2GMEL,210,21003,210031438,SA2,Glenroy,"2,730","2,067","1,017",191,456,"2,295","8,755",,"3,136","2,251","1,094",203,487,"2,435","9,607",,"3,538","2,344","1,200",208,493,"2,564","10,347",,"3,894","2,413","1,333",220,514,"2,711","11,084",,"4,242","2,540","1,488",242,563,"2,904","11,978"
2GMEL,210,21003,210031439,SA2,Gowanbrae,465,313,108,8,15,233,"1,140",,483,362,118,7,15,275,"1,260",,494,427,127,8,17,313,"1,385",,511,498,130,9,19,366,"1,533",,536,580,137,10,21,412,"1,696"
2GMEL,210,21003,210031440,SA2,Hadfield,761,578,290,26,48,660,"2,363",,866,632,325,29,52,727,"2,631",,964,673,345,30,55,752,"2,818",,"1,048",734,366,34,60,776,"3,017",,"1,126",821,398,37,66,822,"3,270"
2GMEL,210,21004,210041240,SA2,Sunbury,"1,998","1,189",541,40,70,768,"4,606",,"2,053","1,402",567,41,73,881,"5,018",,"2,248","1,653",628,44,80,"1,045","5,697",,"2,647","1,983",744,50,92,"1,270","6,787",,"3,212","2,405",907,61,110,"1,555","8,249"
2GMEL,210,21004,210041241,SA2,Sunbury - South,"3,734","2,558","1,410",127,278,"2,427","10,535",,"4,317","3,125","1,621",148,323,"2,918","12,451",,"4,987","3,684","1,869",170,363,"3,452","14,525",,"5,653","4,235","2,138",195,406,"4,014","16,640",,"6,325","4,827","2,416",220,456,"4,592","18,836"
2GMEL,210,21005,210051242,SA2,Broadmeadows,"1,592",745,835,100,268,"1,206","4,745",,"1,812",821,922,105,270,"1,325","5,255",,"2,033",894,"1,024",109,272,"1,455","5,786",,"2,242",989,"1,151",121,294,"1,632","6,429",,"2,481","1,137","1,314",137,336,"1,867","7,271"
2GMEL,210,21005,210051243,SA2,Campbellfield - Coolaroo,"2,202",946,923,97,162,"1,062","5,392",,"2,278",995,954,97,160,"1,129","5,614",,"2,357","1,042",996,98,156,"1,182","5,831",,"2,431","1,097","1,045",99,157,"1,237","6,067",,"2,539","1,172","1,107",104,166,"1,295","6,383"
2GMEL,210,21005,210051245,SA2,Gladstone Park - Westmeadows,"2,439","1,699",986,97,130,"1,386","6,737",,"2,449","1,839","1,021",97,130,"1,500","7,037",,"2,454","1,934","1,062",98,128,"1,612","7,287",,"2,472","2,003","1,101",100,129,"1,716","7,522",,"2,527","2,075","1,152",104,134,"1,808","7,802"
2GMEL,210,21005,210051246,SA2,Greenvale - Bulla,"2,941","1,159",509,50,49,410,"5,117",,"3,704","1,577",635,65,65,551,"6,595",,"4,616","1,985",787,75,77,706,"8,245",,"5,402","2,329",931,82,86,850,"9,680",,"6,054","2,662","1,068",90,93,985,"10,952"
2GMEL,210,21005,210051247,SA2,Meadow Heights,"2,248",708,915,78,96,634,"4,679",,"2,276",818,965,81,98,690,"4,927",,"2,295",918,"1,011",82,100,739,"5,146",,"2,315",999,"1,059",79,98,781,"5,330",,"2,364","1,064","1,130",77,95,816,"5,546"
2GMEL,210,21005,210051248,SA2,Melbourne Airport,24,19,13,1,5,24,86,,25,24,10,1,5,26,91,,27,22,12,0,0,26,87,,28,22,13,0,0,28,90,,29,20,13,0,0,28,91
2GMEL,210,21005,210051249,SA2,Roxburgh Park - Somerton,"3,714",741,823,63,80,552,"5,973",,"4,173",975,966,73,96,703,"6,985",,"4,359","1,175","1,051",78,105,817,"7,585",,"4,446","1,329","1,087",82,106,891,"7,941",,"4,549","1,447","1,147",84,104,949,"8,281"
2GMEL,210,21005,210051250,SA2,Tullamarine,736,709,388,29,121,926,"2,909",,769,744,412,29,122,976,"3,052",,804,766,433,29,124,"1,027","3,183",,837,797,462,32,129,"1,077","3,334",,876,853,495,33,141,"1,145","3,543"
2GMEL,210,21005,210051441,SA2,Craigieburn - Central,"1,270",553,439,34,70,463,"2,830",,"1,272",634,454,32,70,526,"2,987",,"1,252",699,479,30,65,592,"3,116",,"1,233",753,494,30,65,653,"3,229",,"1,232",796,532,31,65,711,"3,367"
2GMEL,210,21005,210051442,SA2,Craigieburn - North,"2,076",508,445,38,55,333,"3,454",,"2,323",587,546,41,55,431,"3,983",,"2,267",627,662,43,57,490,"4,146",,"2,185",715,792,51,67,535,"4,346",,"2,144",844,976,57,79,570,"4,671"
2GMEL,210,21005,210051443,SA2,Craigieburn - South,"2,649","1,001",729,52,124,669,"5,224",,"3,517","1,393",959,68,162,894,"6,993",,"4,062","1,621","1,165",70,174,"1,130","8,223",,"4,267","1,775","1,326",73,176,"1,325","8,943",,"4,294","2,006","1,453",80,185,"1,496","9,513"
2GMEL,210,21005,210051444,SA2,Craigieburn - West,"2,378",894,515,64,94,561,"4,506",,"3,799","1,291",803,91,134,829,"6,948",,"4,537","1,378","1,105",91,118,"1,045","8,274",,"4,605","1,452","1,340",105,129,"1,207","8,839",,"4,539","1,795","1,550",130,171,"1,412","9,597"
2GMEL,210,21005,210051445,SA2,Mickleham - Yuroke,601,322,109,12,16,121,"1,182",,"3,018","1,698",544,50,81,622,"6,013",,"5,530","3,112","1,035",78,144,"1,073","10,972",,"7,737","4,348","1,606",174,201,"1,434","15,500",,"9,486","5,462","2,070",232,242,"1,756","19,249"
2GMEL,211,21101,211011251,SA2,Bayswater,"1,543","1,250",648,66,186,"1,449","5,143",,"1,652","1,342",693,69,192,"1,574","5,522",,"1,779","1,411",743,72,199,"1,698","5,902",,"1,906","1,496",808,76,212,"1,827","6,325",,"2,037","1,628",876,84,232,"1,959","6,817"
2GMEL,211,21101,211011254,SA2,Knoxfield - Scoresby,"2,337","1,455",667,57,135,970,"5,621",,"2,584","1,653",735,63,151,"1,113","6,299",,"2,856","1,828",814,69,164,"1,256","6,987",,"3,141","2,010",902,76,179,"1,395","7,704",,"3,449","2,225",993,83,198,"1,535","8,483"
2GMEL,211,21101,211011255,SA2,Lysterfield,"1,267",483,151,15,6,195,"2,117",,"1,232",626,156,18,8,236,"2,277",,"1,220",769,165,19,9,275,"2,457",,"1,240",873,164,17,9,321,"2,624",,"1,289",935,171,15,8,351,"2,769"
2GMEL,211,21101,211011256,SA2,Rowville - Central,"2,549","1,256",622,67,106,877,"5,477",,"2,552","1,461",618,66,111,948,"5,756",,"2,586","1,619",627,61,110,"1,018","6,021",,"2,632","1,720",653,59,102,"1,098","6,263",,"2,674","1,808",696,60,98,"1,194","6,530"
2GMEL,211,21101,211011257,SA2,Rowville - North,"1,460",625,254,26,24,373,"2,762",,"1,416",775,258,30,27,440,"2,946",,"1,388",940,254,32,29,508,"3,150",,"1,400","1,079",256,33,28,577,"3,373",,"1,438","1,183",273,31,26,652,"3,602"
2GMEL,211,21101,211011258,SA2,Rowville - South,"1,914",891,276,22,50,426,"3,579",,"1,789","1,047",272,25,55,497,"3,686",,"1,732","1,207",274,26,59,572,"3,869",,"1,722","1,334",281,26,60,639,"4,062",,"1,764","1,400",303,24,59,698,"4,247"
2GMEL,211,21101,211011259,SA2,Wantirna,"2,072","1,441",552,62,107,987,"5,222",,"2,107","1,535",567,59,103,"1,065","5,438",,"2,159","1,600",602,61,104,"1,160","5,686",,"2,184","1,652",630,67,112,"1,249","5,894",,"2,211","1,733",641,75,120,"1,316","6,096"
2GMEL,211,21101,211011260,SA2,Wantirna South,"2,695","1,659",676,74,139,"1,293","6,535",,"2,709","1,836",685,75,143,"1,401","6,849",,"2,907","1,982",729,78,147,"1,531","7,372",,"3,101","2,069",775,82,150,"1,655","7,832",,"3,263","2,141",814,83,155,"1,750","8,207"
